"","concept_id","ingredient_name","cohort_name","atc"
"1",920293,"nitrofurantoin","J01XE01_nitrofurantoin_oral","J01XE01"
"2",990069,"chloramphenicol","J01BA01_chloramphenicol_systemic","J01BA01"
"3",997881,"clindamycin","J01FF01_clindamycin_systemic","J01FF01"
"4",1036425,"sulfamethizole","J01EB02_sulfamethizole_oral","J01EB02"
"5",1036475,"sulfanilamide","J01EB06_sulfanilamide_systemic","J01EB06"
"6",1036487,"sulfathiazole","J01EB07_sulfathiazole_systemic","J01EB07"
"7",1361385,"methicillin","J01CF03_meticillin_parenteral","J01CF03"
"8",1701651,"spectinomycin","J01XX04_spectinomycin_parenteral","J01XX04"
"9",1702559,"tinidazole","J01XD02_tinidazole_parenteral","J01XD02"
"10",1702559,"tinidazole","P01AB02_tinidazole_oral_rectal","P01AB02"
"11",1705674,"trimethoprim","J01EA01_trimethoprim_systemic","J01EA01"
"12",1705674,"trimethoprim","J01EE05_sulfadimidine_and_trimethoprim_systemic","J01EE05"
"13",1705674,"trimethoprim","J01EE04_sulfamoxole_and_trimethoprim_systemic","J01EE04"
"14",1705674,"trimethoprim","J01EE07_sulfamerazine_and_trimethoprim_systemic","J01EE07"
"15",1705674,"trimethoprim","J01EE02_sulfadiazine_and_trimethoprim_systemic","J01EE02"
"16",1705674,"trimethoprim","J01EE03_sulfametrole_and_trimethoprim_systemic","J01EE03"
"17",1705674,"trimethoprim","J01EE01_sulfamethoxazole_and_trimethoprim_systemic","J01EE01"
"18",1707164,"metronidazole","P01AB01_metronidazole_oral_rectal","P01AB01"
"19",1707164,"metronidazole","J01XD01_metronidazole_parenteral","J01XD01"
"20",1713332,"amoxicillin","J01CA04_amoxicillin_systemic","J01CA04"
"21",1713332,"amoxicillin","J01CR02_amoxicillin_and_beta_lactamase_inhibitor_systemic","J01CR02"
"22",1713930,"nafcillin","J01CF06_nafcillin_parenteral","J01CF06"
"23",1717327,"ampicillin","J01CR01_ampicillin_and_beta_lactamase_inhibitor_parenteral","J01CR01"
"24",1724666,"dicloxacillin","J01CF01_dicloxacillin_systemic","J01CF01"
"25",1724703,"oxacillin","J01CF04_oxacillin_systemic","J01CF04"
"26",1728416,"penicillin G","J01CE09_procaine_benzylpenicillin_parenteral","J01CE09"
"27",1728416,"penicillin G","J01CE01_benzylpenicillin_parenteral","J01CE01"
"28",1728416,"penicillin G","J01CE08_benzathine_benzylpenicillin_parenteral","J01CE08"
"29",1729720,"penicillin V","J01CE02_phenoxymethylpenicillin_oral","J01CE02"
"30",1734205,"bacampicillin","J01CA06_bacampicillin_oral","J01CA06"
"31",1738521,"doxycycline","J01AA02_doxycycline_systemic","J01AA02"
"32",1769535,"cefadroxil","J01DB05_cefadroxil_oral","J01DB05"
"33",1771162,"cefazolin","J01DB04_cefazolin_parenteral","J01DB04"
"34",1786621,"cephalexin","J01DB01_cefalexin_oral","J01DB01"
"35",1786842,"cephradine","J01DB09_cefradine_systemic","J01DB09"
"36",1790868,"amikacin","J01GB06_amikacin_parenteral","J01GB06"
"37",1800835,"cloxacillin","J01CF02_cloxacillin_systemic","J01CF02"
"38",1836241,"sulbactam","J01CR02_amoxicillin_and_beta_lactamase_inhibitor_systemic","J01CR02"
"39",1836241,"sulbactam","J01CR01_ampicillin_and_beta_lactamase_inhibitor_parenteral","J01CR01"
"40",1836241,"sulbactam","J01CG01_sulbactam_parenteral","J01CG01"
"41",1836391,"sulfadiazine","J01EC02_sulfadiazine_oral","J01EC02"
"42",1836391,"sulfadiazine","J01EE06_sulfadiazine_and_tetroxoprim_systemic","J01EE06"
"43",1836391,"sulfadiazine","J01EE02_sulfadiazine_and_trimethoprim_systemic","J01EE02"
"44",1836430,"sulfamethoxazole","J01EE01_sulfamethoxazole_and_trimethoprim_systemic","J01EE01"
"45",1836430,"sulfamethoxazole","J01EC01_sulfamethoxazole_oral","J01EC01"
"46",1836503,"sulfisoxazole","J01EB05_sulfafurazole_systemic","J01EB05"
"47",1836948,"tetracycline","J01AA07_tetracycline_systemic","J01AA07"
"48",19000818,"sulfadimethoxine","J01ED01_sulfadimethoxine_oral","J01ED01"
"49",19000820,"sulfamethoxypyridazine","J01ED05_sulfamethoxypyridazine_oral","J01ED05"
"50",19000821,"sulfisomidine","J01EB01_sulfaisodimidine_systemic","J01EB01"
"51",19002077,"talampicillin","J01CA15_talampicillin_oral","J01CA15"
"52",19018516,"azidocillin","J01CE04_azidocillin_oral","J01CE04"
"53",19018742,"brodimoprim","J01EA02_brodimoprim_oral","J01EA02"
"54",19024197,"ornidazole","J01XD03_ornidazole_parenteral","J01XD03"
"55",19024197,"ornidazole","P01AB03_ornidazole_oral","P01AB03"
"56",19037983,"secnidazole","P01AB07_secnidazole_oral","P01AB07"
"57",19040624,"sulfametrole","J01EE03_sulfametrole_and_trimethoprim_systemic","J01EE03"
"58",19047071,"pivampicillin","J01CA02_pivampicillin_oral","J01CA02"
"59",19052683,"cephaloridine","J01DB02_cefaloridine_parenteral","J01DB02"
"60",19054936,"floxacillin","J01CF05_flucloxacillin_systemic","J01CF05"
"61",19069006,"hetacillin","J01CA18_hetacillin_oral","J01CA18"
"62",19070680,"cefatrizine","J01DB07_cefatrizine_oral","J01DB07"
