"","indication_category","concept_id","concept_code","concept_name","domain_id","vocabulary_id"
"1","Upper respiratory tract infection",24660,"17741008","Acute tonsillitis","Condition","SNOMED"
"2","Upper respiratory tract infection",23137,"232403001","Chlamydial pharyngitis","Condition","SNOMED"
"3","Upper respiratory tract infection",23220,"90979004","Chronic tonsillitis","Condition","SNOMED"
"4","Upper respiratory tract infection",24978,"195798007","Chronic adenotonsillitis","Condition","SNOMED"
"5","Upper respiratory tract infection",26899,"70341005","Tuberculous laryngitis","Condition","SNOMED"
"6","Upper respiratory tract infection",26908,"186963008","Vincent's angina","Condition","SNOMED"
"7","Upper respiratory tract infection",28060,"43878008","Streptococcal sore throat","Condition","SNOMED"
"8","Upper respiratory tract infection",30333,"74372003","Gonorrhea of pharynx","Condition","SNOMED"
"9","Upper respiratory tract infection",257011,"54398005","Acute upper respiratory infection","Condition","SNOMED"
"10","Upper respiratory tract infection",260134,"71186008","Croup","Condition","SNOMED"
"11","Upper respiratory tract infection",437486,"15682004","Anterior nasal diphtheria","Condition","SNOMED"
"12","Upper respiratory tract infection",438063,"72409005","Rhinoscleroma","Condition","SNOMED"
"13","Upper respiratory tract infection",438680,"50215002","Laryngeal diphtheria","Condition","SNOMED"
"14","Upper respiratory tract infection",442550,"75589004","Nasopharyngeal diphtheria","Condition","SNOMED"
"15","Upper respiratory tract infection",443775,"24078009","Gangosa of yaws","Condition","SNOMED"
"16","Upper respiratory tract infection",604303,"878818001","Pharyngotonsillitis","Condition","SNOMED"
"17","Upper respiratory tract infection",759843,"10629271000119107","Acute tonsillitis caused by Streptococcus","Condition","SNOMED"
"18","Upper respiratory tract infection",761988,"26941000119100","Infection of larynx","Condition","SNOMED"
"19","Upper respiratory tract infection",1340231,"OMOP5165886","Acute bacterial exacerbation of chronic sinusitis","Condition","OMOP Extension"
"20","Upper respiratory tract infection",1340298,"OMOP5165953","Exacerbation of croup","Condition","OMOP Extension"
"21","Upper respiratory tract infection",4009327,"111816002","Pneumococcal tonsillitis","Condition","SNOMED"
"22","Upper respiratory tract infection",4013413,"10345003","Primary syphilis of tonsils","Condition","SNOMED"
"23","Upper respiratory tract infection",4014329,"10351008","Suppurative tonsillitis","Condition","SNOMED"
"24","Upper respiratory tract infection",4016743,"11461005","Staphylococcal tonsillitis","Condition","SNOMED"
"25","Upper respiratory tract infection",4031521,"14465002","Ulcerative tonsillitis","Condition","SNOMED"
"26","Upper respiratory tract infection",4048190,"232417005","Vincent's tonsillitis","Condition","SNOMED"
"27","Upper respiratory tract infection",4049238,"232418000","Acute infection of tonsillar remnant","Condition","SNOMED"
"28","Upper respiratory tract infection",4050381,"21060003","Acute bacterial epiglottitis","Condition","SNOMED"
