"","result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level","pattern_name","ingredient","ingredient_concept_id"
"1",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","number records",NA,"count","integer","9489","overall","overall","overall","lymecycline",19092353
"2",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","Missing dose",NA,"count_missing","integer","0","overall","overall","overall","lymecycline",19092353
"3",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","Missing dose",NA,"percentage_missing","percentage","0","overall","overall","overall","lymecycline",19092353
"4",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"mean","numeric","428.428019812414","overall","overall","overall","lymecycline",19092353
"5",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"sd","numeric","339.301740859432","overall","overall","overall","lymecycline",19092353
"6",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"q05","numeric","408","overall","overall","overall","lymecycline",19092353
"7",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"q25","numeric","408","overall","overall","overall","lymecycline",19092353
"8",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"median","numeric","408","overall","overall","overall","lymecycline",19092353
"9",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"q75","numeric","408","overall","overall","overall","lymecycline",19092353
"10",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"q95","numeric","408","overall","overall","overall","lymecycline",19092353
"11",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"min","numeric","19.4285714285714","overall","overall","overall","lymecycline",19092353
"12",1,"GOLD_100k","ingredient_name","lymecycline","overall","overall","daily_dose",NA,"max","numeric","22848","overall","overall","overall","lymecycline",19092353
"13",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","number records",NA,"count","integer","9489","overall","overall","milligram","lymecycline",19092353
"14",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","Missing dose",NA,"count_missing","integer","0","overall","overall","milligram","lymecycline",19092353
"15",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","Missing dose",NA,"percentage_missing","percentage","0","overall","overall","milligram","lymecycline",19092353
"16",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"mean","numeric","428.428019812414","overall","overall","milligram","lymecycline",19092353
"17",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"sd","numeric","339.301740859432","overall","overall","milligram","lymecycline",19092353
"18",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"q05","numeric","408","overall","overall","milligram","lymecycline",19092353
"19",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"q25","numeric","408","overall","overall","milligram","lymecycline",19092353
"20",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"median","numeric","408","overall","overall","milligram","lymecycline",19092353
"21",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"q75","numeric","408","overall","overall","milligram","lymecycline",19092353
"22",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"q95","numeric","408","overall","overall","milligram","lymecycline",19092353
"23",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"min","numeric","19.4285714285714","overall","overall","milligram","lymecycline",19092353
"24",1,"GOLD_100k","ingredient_name","lymecycline","unit","milligram","daily_dose",NA,"max","numeric","22848","overall","overall","milligram","lymecycline",19092353
"25",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","number records",NA,"count","integer","9489","overall","overall","oral  milligram","lymecycline",19092353
"26",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","Missing dose",NA,"count_missing","integer","0","overall","overall","oral  milligram","lymecycline",19092353
"27",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","Missing dose",NA,"percentage_missing","percentage","0","overall","overall","oral  milligram","lymecycline",19092353
"28",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"mean","numeric","428.428019812414","overall","overall","oral  milligram","lymecycline",19092353
"29",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"sd","numeric","339.301740859432","overall","overall","oral  milligram","lymecycline",19092353
"30",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"q05","numeric","408","overall","overall","oral  milligram","lymecycline",19092353
"31",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"q25","numeric","408","overall","overall","oral  milligram","lymecycline",19092353
"32",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"median","numeric","408","overall","overall","oral  milligram","lymecycline",19092353
"33",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"q75","numeric","408","overall","overall","oral  milligram","lymecycline",19092353
"34",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"q95","numeric","408","overall","overall","oral  milligram","lymecycline",19092353
"35",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"min","numeric","19.4285714285714","overall","overall","oral  milligram","lymecycline",19092353
"36",1,"GOLD_100k","ingredient_name","lymecycline","route &&& unit","oral &&& milligram","daily_dose",NA,"max","numeric","22848","overall","overall","oral  milligram","lymecycline",19092353
"37",1,"GOLD_100k","ingredient_name","lymecycline","unit &&& route &&& pattern_id","milligram &&& oral &&& 9","number records",NA,"count","integer","9489","overall","overall","milligram  oral   fixed_amount_milligram","lymecycline",19092353
"38",1,"GOLD_100k","ingredient_name","lymecycline","unit &&& route &&& pattern_id","milligram &&& oral &&& 9","Missing dose",NA,"count_missing","integer","0","overall","overall","milligram  oral   fixed_amount_milligram","lymecycline",19092353
