"incidence_start_date","outcome_count","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","outcome_cohort_name","cdm_name","denominator_sex","denominator_age_group","age_standard","n","d","c_rate","c_lower","c_upper","s_rate","s_lower","s_upper","denominator_cohort_name"
"2012-01-01",1505,39003.162,3858.662,3666.15417271779,4058.65407136114,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",1412,37439.277,3771.44,3577.26705116876,3973.41371124075,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",1458,35173.662,4145.147,3935.08302496555,4363.51231180651,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",1177,31618.226,3722.536,3512.88137524866,3941.43548285824,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",1021,27420.014,3723.558,3498.63264130467,3959.14924393931,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",833,25069.322,3322.786,3100.94169331841,3556.31090471258,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",698,23820.539,2930.244,2716.86514800421,3155.92889345479,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",699,22888.6,3053.922,2831.6927992732,3288.95751918511,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",458,21233.32,2156.987,1963.94146038651,2363.8781360014,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",440,19021.355,2313.19,2102.07233336169,2539.76678912759,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",534,17777.823,3003.742,2754.34598420807,3269.65620085493,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",243,7631.357,3184.231,2796.42375152421,3610.77970676114,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",173,38735.362,446.62,382.545840207643,518.356947347846,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",162,37165.229,435.891,371.352364478026,508.422608606495,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",163,34884.246,467.26,398.280191261803,544.753385400767,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",145,31297.856,463.291,390.952822155591,545.132574602493,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",111,27090.229,409.742,337.071081496507,493.434855757387,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",98,24737.377,396.162,321.623174010517,482.794155148847,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",100,23481.254,425.872,346.506158703974,517.974013621361,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",103,22560.203,456.556,372.655947931046,553.707142825936,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",67,20900.832,320.561,248.430683167065,407.101648526702,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",72,18706.39,384.895,301.156800912353,484.711823310954,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",75,17482.721,428.995,337.431785941396,537.748954804191,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",33,7511.296,439.338,302.420269055165,616.994314551967,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",32,38642.79,82.81,56.6418116064719,116.902666912561,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",44,37074.872,118.679,86.2321719091689,159.32070184978,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",30,34800.17,86.206,58.1631469657215,123.065103977388,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",21,31225.624,67.252,41.6303321402839,102.802527613038,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",20,27013.155,74.038,45.2243345340592,114.345687879385,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",22,24663.729,89.2,55.9010475351461,135.049587948056,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",23,23409.27,98.252,62.2831341474752,147.425754390603,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",21,22491.923,93.367,57.7955516923839,142.721148098112,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",9,20830.962,43.205,19.756039578865,82.0163920006151,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",22,18632.613,118.073,73.9954340930583,178.763249079049,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",12,17413.533,68.912,35.6077948611704,120.375256693613,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",5,7482.809,66.82,21.6962158210696,155.935185293687,"j01ma01_ofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",446,38710.877,1152.131,1047.67252887958,1264.1851622016,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",454,37138.387,1222.455,1112.57814386258,1340.24777551021,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",353,34872.517,1012.258,909.403032814428,1123.56193902016,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",327,31302.086,1044.659,934.487696513824,1164.24801007497,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",245,27092.619,904.305,794.605951160119,1024.91661910107,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",254,24737.216,1026.793,904.39029180347,1161.14214412293,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",228,23481.276,970.986,849.031479604399,1105.54102147169,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",152,22570.554,673.444,570.639845676693,789.418985252155,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",136,20909.451,650.424,545.707600317019,769.378281097565,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",113,18705.27,604.108,497.870351303134,726.304219244418,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",106,17479.351,606.43,496.495063042246,733.459420363761,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",52,7509.377,692.468,517.167898221933,908.079082204461,"j01ma02_ciprofloxacin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",0,38637.207,0,0,9.54747959425208,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",0,37071.179,0,0,9.95080154886343,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
