"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number records",NA,"count","integer","2510","overall","overall"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number subjects",NA,"count","integer","1154","overall","overall"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"q25","integer","1","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"median","integer","1","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"q75","integer","2","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"mean","numeric","1.47808764940239","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"sd","numeric","1.10693578120931","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"count_missing","integer","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","number exposures",NA,"percentage_missing","percentage","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"q25","integer","28","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"median","integer","56","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"q75","integer","84","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"mean","numeric","65.3306772908366","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"sd","numeric","44.2755851047563","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"count_missing","integer","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","exposed time",NA,"percentage_missing","percentage","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","q25","numeric","408","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","median","numeric","408","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","q75","numeric","408","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","mean","numeric","437.406033010814","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","sd","numeric","141.674507458425","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","count_missing","integer","0","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa04_lymecycline_systemic","overall","overall","initial daily dose","milligram","percentage_missing","percentage","0","concept_set &&& ingredient","ingredient_19092353_descendants &&& lymecycline"
1,"GOLD_100k","cohort_name","j01aa06_oxytetracycline_systemic","overall","overall","number records",NA,"count","integer","1188","overall","overall"
1,"GOLD_100k","cohort_name","j01aa06_oxytetracycline_systemic","overall","overall","number subjects",NA,"count","integer","569","overall","overall"
1,"GOLD_100k","cohort_name","j01aa06_oxytetracycline_systemic","overall","overall","number exposures",NA,"q25","integer","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa06_oxytetracycline_systemic","overall","overall","number exposures",NA,"median","integer","0","concept_set","ingredient_19092353_descendants"
1,"GOLD_100k","cohort_name","j01aa06_oxytetracycline_systemic","overall","overall","number exposures",NA,"q75","integer","0","concept_set","ingredient_19092353_descendants"
